

============================== EXP at 2026-04-30 13:36:45 ==============================


============================== EXP at 2026-04-30 13:37:33 ==============================


============================== EXP at 2026-04-30 13:39:34 ==============================
dev | avg_loss: 2.2266845703125 | {'exact_match': 0.0, 'rougeL': 9.3261} | threshold: 0.0
train | epoch   1 | Iter:   1738/  7140 | global iter:    870/  3570 | loss: -0.2867 | ds_loss: -0.3536 | lr: 4.3041e-04 | scale:  2048.0000 | micro time: 0.931 | step time: 1.924
train | epoch   1 | Iter:   1758/  7140 | global iter:    880/  3570 | loss: -0.2907 | ds_loss: -0.3507 | lr: 4.2888e-04 | scale:  2048.0000 | micro time: 0.972 | step time: 1.915
train | epoch   1 | Iter:   1778/  7140 | global iter:    890/  3570 | loss: -0.3223 | ds_loss: -0.3882 | lr: 4.2733e-04 | scale:  2048.0000 | micro time: 0.984 | step time: 1.921
train | epoch   1 | Iter:   1798/  7140 | global iter:    900/  3570 | loss: -0.2660 | ds_loss: -0.3287 | lr: 4.2578e-04 | scale:  2048.0000 | micro time: 0.972 | step time: 1.900
train | epoch   1 | Iter:   1818/  7140 | global iter:    910/  3570 | loss: -0.2289 | ds_loss: -0.2917 | lr: 4.2421e-04 | scale:  2048.0000 | micro time: 0.971 | step time: 1.935
train | epoch   1 | Iter:   1838/  7140 | global iter:    920/  3570 | loss: -0.2340 | ds_loss: -0.2952 | lr: 4.2262e-04 | scale:  2048.0000 | micro time: 1.003 | step time: 1.916
train | epoch   1 | Iter:   1858/  7140 | global iter:    930/  3570 | loss: -0.3034 | ds_loss: -0.3643 | lr: 4.2102e-04 | scale:  2048.0000 | micro time: 1.018 | step time: 1.937
train | epoch   1 | Iter:   1878/  7140 | global iter:    940/  3570 | loss: -0.2782 | ds_loss: -0.3436 | lr: 4.1941e-04 | scale:  2048.0000 | micro time: 1.006 | step time: 1.939
train | epoch   1 | Iter:   1898/  7140 | global iter:    950/  3570 | loss: -0.2506 | ds_loss: -0.3153 | lr: 4.1779e-04 | scale:  2048.0000 | micro time: 0.965 | step time: 1.918
train | epoch   1 | Iter:   1918/  7140 | global iter:    960/  3570 | loss: -0.2729 | ds_loss: -0.3324 | lr: 4.1615e-04 | scale:  2048.0000 | micro time: 0.957 | step time: 1.907
train | epoch   1 | Iter:   1938/  7140 | global iter:    970/  3570 | loss: -0.2696 | ds_loss: -0.3314 | lr: 4.1450e-04 | scale:  2048.0000 | micro time: 0.980 | step time: 1.923
train | epoch   1 | Iter:   1958/  7140 | global iter:    980/  3570 | loss: -0.2779 | ds_loss: -0.3392 | lr: 4.1284e-04 | scale:  2048.0000 | micro time: 0.950 | step time: 1.906
train | epoch   1 | Iter:   1978/  7140 | global iter:    990/  3570 | loss: -0.2502 | ds_loss: -0.3156 | lr: 4.1116e-04 | scale:  2048.0000 | micro time: 0.970 | step time: 1.931
train | epoch   1 | Iter:   1998/  7140 | global iter:   1000/  3570 | loss: -0.2510 | ds_loss: -0.3123 | lr: 4.0948e-04 | scale:  2048.0000 | micro time: 0.894 | step time: 1.888
train | epoch   1 | Iter:   2018/  7140 | global iter:   1010/  3570 | loss: -0.2502 | ds_loss: -0.3099 | lr: 4.0778e-04 | scale:  2048.0000 | micro time: 0.885 | step time: 1.750
train | epoch   1 | Iter:   2038/  7140 | global iter:   1020/  3570 | loss: -0.2992 | ds_loss: -0.3613 | lr: 4.0606e-04 | scale:  2048.0000 | micro time: 0.879 | step time: 1.748
train | epoch   1 | Iter:   2058/  7140 | global iter:   1030/  3570 | loss: -0.2386 | ds_loss: -0.2970 | lr: 4.0434e-04 | scale:  2048.0000 | micro time: 0.899 | step time: 1.738
train | epoch   1 | Iter:   2078/  7140 | global iter:   1040/  3570 | loss: -0.2639 | ds_loss: -0.3245 | lr: 4.0260e-04 | scale:  2048.0000 | micro time: 0.958 | step time: 1.756
train | epoch   1 | Iter:   2098/  7140 | global iter:   1050/  3570 | loss: -0.2881 | ds_loss: -0.3477 | lr: 4.0085e-04 | scale:  2048.0000 | micro time: 0.904 | step time: 1.746
train | epoch   1 | Iter:   2118/  7140 | global iter:   1060/  3570 | loss: -0.2790 | ds_loss: -0.3362 | lr: 3.9909e-04 | scale:  2048.0000 | micro time: 0.976 | step time: 1.788
train | epoch   1 | Iter:   2138/  7140 | global iter:   1070/  3570 | loss: -0.2241 | ds_loss: -0.2854 | lr: 3.9732e-04 | scale:  2048.0000 | micro time: 0.986 | step time: 1.919
train | epoch   1 | Iter:   2158/  7140 | global iter:   1080/  3570 | loss: -0.3078 | ds_loss: -0.3680 | lr: 3.9554e-04 | scale:  2048.0000 | micro time: 0.978 | step time: 1.923
train | epoch   1 | Iter:   2178/  7140 | global iter:   1090/  3570 | loss: -0.2962 | ds_loss: -0.3562 | lr: 3.9375e-04 | scale:  2048.0000 | micro time: 0.992 | step time: 1.960
train | epoch   1 | Iter:   2198/  7140 | global iter:   1100/  3570 | loss: -0.2288 | ds_loss: -0.2928 | lr: 3.9194e-04 | scale:  2048.0000 | micro time: 0.994 | step time: 1.941
train | epoch   1 | Iter:   2218/  7140 | global iter:   1110/  3570 | loss: -0.2847 | ds_loss: -0.3482 | lr: 3.9012e-04 | scale:  2048.0000 | micro time: 0.976 | step time: 1.939
train | epoch   1 | Iter:   2238/  7140 | global iter:   1120/  3570 | loss: -0.2331 | ds_loss: -0.2940 | lr: 3.8830e-04 | scale:  2048.0000 | micro time: 0.983 | step time: 1.927
train | epoch   1 | Iter:   2258/  7140 | global iter:   1130/  3570 | loss: -0.2368 | ds_loss: -0.3013 | lr: 3.8646e-04 | scale:  2048.0000 | micro time: 0.986 | step time: 1.936
train | epoch   1 | Iter:   2278/  7140 | global iter:   1140/  3570 | loss: -0.2916 | ds_loss: -0.3583 | lr: 3.8461e-04 | scale:  2048.0000 | micro time: 1.002 | step time: 1.936
train | epoch   1 | Iter:   2298/  7140 | global iter:   1150/  3570 | loss: -0.2846 | ds_loss: -0.3470 | lr: 3.8275e-04 | scale:  2048.0000 | micro time: 0.968 | step time: 1.934
train | epoch   1 | Iter:   2318/  7140 | global iter:   1160/  3570 | loss: -0.2253 | ds_loss: -0.2880 | lr: 3.8088e-04 | scale:  2048.0000 | micro time: 0.984 | step time: 1.921
train | epoch   1 | Iter:   2338/  7140 | global iter:   1170/  3570 | loss: -0.2823 | ds_loss: -0.3420 | lr: 3.7900e-04 | scale:  2048.0000 | micro time: 0.972 | step time: 1.929
train | epoch   1 | Iter:   2358/  7140 | global iter:   1180/  3570 | loss: -0.2869 | ds_loss: -0.3461 | lr: 3.7711e-04 | scale:  2048.0000 | micro time: 0.968 | step time: 1.930
train | epoch   1 | Iter:   2378/  7140 | global iter:   1190/  3570 | loss: -0.2837 | ds_loss: -0.3425 | lr: 3.7522e-04 | scale:  2048.0000 | micro time: 0.967 | step time: 1.898
train | epoch   1 | Iter:   2398/  7140 | global iter:   1200/  3570 | loss: -0.2528 | ds_loss: -0.3107 | lr: 3.7331e-04 | scale:  2048.0000 | micro time: 0.958 | step time: 1.932
train | epoch   1 | Iter:   2418/  7140 | global iter:   1210/  3570 | loss: -0.2675 | ds_loss: -0.3308 | lr: 3.7139e-04 | scale:  2048.0000 | micro time: 0.954 | step time: 1.929
train | epoch   1 | Iter:   2438/  7140 | global iter:   1220/  3570 | loss: -0.2681 | ds_loss: -0.3290 | lr: 3.6946e-04 | scale:  2048.0000 | micro time: 1.017 | step time: 1.942
train | epoch   1 | Iter:   2458/  7140 | global iter:   1230/  3570 | loss: -0.2903 | ds_loss: -0.3493 | lr: 3.6752e-04 | scale:  2048.0000 | micro time: 0.991 | step time: 1.919
train | epoch   1 | Iter:   2478/  7140 | global iter:   1240/  3570 | loss: -0.2200 | ds_loss: -0.2808 | lr: 3.6558e-04 | scale:  2048.0000 | micro time: 0.960 | step time: 1.935
train | epoch   1 | Iter:   2498/  7140 | global iter:   1250/  3570 | loss: -0.2398 | ds_loss: -0.2987 | lr: 3.6362e-04 | scale:  2048.0000 | micro time: 0.984 | step time: 1.921
train | epoch   1 | Iter:   2518/  7140 | global iter:   1260/  3570 | loss: -0.2436 | ds_loss: -0.3091 | lr: 3.6166e-04 | scale:  2048.0000 | micro time: 1.024 | step time: 1.948
train | epoch   1 | Iter:   2538/  7140 | global iter:   1270/  3570 | loss: -0.2489 | ds_loss: -0.3115 | lr: 3.5969e-04 | scale:  2048.0000 | micro time: 0.977 | step time: 1.917
train | epoch   1 | Iter:   2558/  7140 | global iter:   1280/  3570 | loss: -0.2264 | ds_loss: -0.2864 | lr: 3.5771e-04 | scale:  2048.0000 | micro time: 1.006 | step time: 1.953
train | epoch   1 | Iter:   2578/  7140 | global iter:   1290/  3570 | loss: -0.2947 | ds_loss: -0.3578 | lr: 3.5572e-04 | scale:  2048.0000 | micro time: 1.030 | step time: 1.947
train | epoch   1 | Iter:   2598/  7140 | global iter:   1300/  3570 | loss: -0.2605 | ds_loss: -0.3220 | lr: 3.5372e-04 | scale:  2048.0000 | micro time: 0.984 | step time: 1.937
train | epoch   1 | Iter:   2618/  7140 | global iter:   1310/  3570 | loss: -0.2893 | ds_loss: -0.3512 | lr: 3.5171e-04 | scale:  2048.0000 | micro time: 0.965 | step time: 1.929
train | epoch   1 | Iter:   2638/  7140 | global iter:   1320/  3570 | loss: -0.2270 | ds_loss: -0.2925 | lr: 3.4970e-04 | scale:  2048.0000 | micro time: 0.959 | step time: 1.939
